Typ,ID,ID akce,ID rodiče,Hodnota Cs,Hodnota En,Od,Od (pořadí),Do,Do (pořadí)
AKC,352155,1,,Český Krumlov,,>1675****,>1675XXXX,>1676****,>1676XXXX
JED,352157,1,352155,Eggenberg Johann Christian,Eggenberg Johann Christian,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352320,1,352155,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352321,1,352320, Esteretter Johann, Esteretter Johann,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352323,1,352320, Hoffmanová Anna Claudia Felicitas, Hoffmanová Anna Claudia Felicitas,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352324,1,352320, Hoffman Johann Christian, Hoffman Johann Christian,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352325,1,352320, Petzold Johann Valentin, Petzold Johann Valentin,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352326,1,352320, Sammenhammerová Marie Agnes, Sammenhammerová Marie Agnes,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352327,1,352320,Beck Friedrich Cornelius,Beck Friedrich Cornelius,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352328,1,352320,Blümelová Marie Ursula,Blümelová Marie Ursula,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352329,1,352320,Böbe Friedrich,Böbe Friedrich,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352331,1,352320,Böbe Heinrich,Böbe Heinrich,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352332,1,352320,Eckstein Johann Dietrich,Eckstein Johann Dietrich,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352333,1,352320,Elenson Andreas,Elenson Andreas,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
